"at","score","content","sentiment","pos_score","neg_score"
"2026-01-11 07:38:47","1","내 플레이포인트 200개 먹고 쿠키 20개 왜 안주냐 네웹문제냐 플레이스토어 문제냐","부정","0","0"
"2026-01-11 04:34:49","5","재밌어요 ㅎㅎ 감사합니다 😍😍","긍정","5","0"
"2026-01-11 02:39:46","4","다 좋은데 캡쳐가 안되네요...아니 뭐 저작권 문제도 있지만..ㅇ미 완결된 작품은 허락해도 되지 않나?암튼","긍정","0","0"
"2026-01-11 02:38:54","2","자꾸 이미지 로딩이 안돼요 데이터 문제는 아닌게 유튜브는 동시에 볼 수 있어요. 재설치만 2번째","부정","0","0"
"2026-01-10 22:23:44","5","굳","긍정","0","0"
"2026-01-10 14:45:47","5","재밌어요 추천드렵니다","긍정","6","0"
"2026-01-10 13:15:27","5","정말 재밌게 쓸게","긍정","0","0"
"2026-01-10 09:32:29","5","너무좋아요.","긍정","2","0"
"2026-01-09 19:54:39","5","응원","긍정","1","0"
"2026-01-09 14:51:45","1","무료대사는왜만든? 생각해봐 뽑으로나와도꽝이고 또 자판글자가 따로따로 진짜. 누가 이딴아이디어로 정함?? 그리고 무료쿠키는 왜처만듬? 미션이 얼태이없어 최초 접속외에는 못얻는데. 이렇게할거면. 왜만듬?? 누가만든거임? 스피드게임을. 예를. 들어 뭐뭐. 있습니다인데. 글자를. 뭐뭐있. 습니다. 이딴식으로. 하면. 누구생각임? 뭐뭐. 있습니다라고. 생각하지. 뭐뭐있 습니다면 틀린다고. 초를 깍는데. 뭔생각으로. 이딴식해? 차라리 그냥 우리가 자판 쓰는게. 쳐 낫겠다 또. 성공해도 꽝만나오고. 네이버스피드게임 제안시간안에 하면치킨기모티콘과쿠키 와르르무슨 거짓광고하냐 웃기고 있네","부정","0","1"
"2026-01-09 14:46:59","2","쿠키 결제 단위가 왜 이래요?? 그냥 하나당 120원해서 마음대로 조정할 수 있게 하면 좋을텐데. 미리보기가 평균적으로 3개니까 최소단위를 3개로 하든지.. 1개를 3번 결제해야 해서 너무 불편해요. 네이버 앱 아니라면서 지문인식 결제도 안되고. 원클릭 결제같은 거 도입할 기술이 없는 것도 아닐텐데요..","부정","0","2"
"2026-01-09 13:57:44","1","네이버웹툰 앱에서 결제와 네이버로 들어가 결제가 왜 동일하지 않죠? 왜 다른가요","부정","0","0"
"2026-01-09 12:45:50","5","재미가 있어","긍정","0","0"
"2026-01-09 11:30:12","3","작품이나 유저 차단할 수 있게 해주면 좋겠음.","중립","0","0"
"2026-01-09 07:37:06","5","좋라요","긍정","0","0"
"2026-01-09 03:29:35","5","재미있는 웹툰이 많아요","긍정","2","0"
"2026-01-09 01:51:44","5","자신이 관심 웹툰한 작품들 중에서 ,연재중, 휴재중, 완결, 유료예정일 정해진 작품 등 이런거 분류되는 버튼같은거 만들어주시면 좋겠어요. 보는 작품이 많아서 하나하나 확인하기도 번거롭고 묵혀두다가 놓쳐서 유료화되는게 많아서 아쉬워요","긍정","0","0"
"2026-01-08 23:09:10","5","굳","긍정","0","0"
"2026-01-08 17:56:25","5","화이팅","긍정","0","0"
"2026-01-08 16:41:08","1","구글플레이 포인트로 쿠키 구매했는데 네이버웹툰 들어가니 쿠키가 안들어옴...20개,5개,3개 이렇게 세번이나 구매했는데 세번다 안들어옴..ㅡㅡ","부정","0","0"
"2026-01-08 14:18:37","1","아니 인터넷 상태 원활한데 왜 웹툰 로딩이 안됨? 계속 데이터 onoff 반복하니까 겨우되노","부정","0","0"
"2026-01-08 09:51:37","5","불편한 점 문의하니 기분탓인지 모르겠지만 바로 수정 해 준 느낌입니다. 빠른 피드백 좋아요.","긍정","2","2"
"2026-01-08 08:14:06","5","고마운 만화들 만나게해준 고마운친구","긍정","0","0"
"2026-01-08 01:02:03","4","다 좋아요 근데 해외사는 사람들은 한국 번호 없어서 로그인을 못해요... ㅜ 그거 빼고는 다 좋아요!","긍정","2","0"
"2026-01-07 14:19:01","1","서버좀 제발 고쳐라고","부정","0","0"
"2026-01-07 11:38:36","1","이전 버전이 더 낫네요 ㅎ","부정","0","0"
"2026-01-07 10:51:58","4","제발 화면캡쳐좀 되게해주세요 사진을 저장하고 싶습니다 부탁드립니다","긍정","0","0"
"2026-01-07 10:12:34","4","굿","긍정","0","0"
"2026-01-07 08:34:37","5","항상 고맙게 잘보고 있습니다","긍정","0","0"
"2026-01-07 06:29:04","1","거의 무한로딩 최근에 갑자기 로딩이 안됨","부정","0","0"
"2026-01-07 06:15:53","1","작가좀 그만 바꾸면 안되냐","부정","0","0"
"2026-01-07 05:19:13","5","늘 즐거운 네이버 웹툰 ㅎㅎ","긍정","0","0"
"2026-01-07 00:31:08","5","별이다섯개","긍정","0","0"
"2026-01-06 22:54:52","3","남길 수가 없어서 여기 남깁니다 리워드 받으려고 앱다운 받을때 앱다운이아닌 웹사이트로 들어가지는거 절대 하지마세요 브라우저 이탈후 재접속시 리워드 안줍니다 나갔다 들어오면 리워드 못받아요 시간 다날리고 유의사항보니 써있네요","중립","0","0"
"2026-01-06 22:43:25","4","무료로 웹툰을 볼 수 있는게 좋지만, 쿠키는 돈을 써야한다는게 아쉽네요ㅠㅠ","긍정","0","0"
"2026-01-06 15:04:40","5","와 정말 조와유","긍정","0","0"
"2026-01-06 14:27:39","5","화산귀환 엔제 연재합니까","긍정","0","0"
"2026-01-06 14:13:45","4","광고너무많아용 구와악","긍정","0","1"
"2026-01-06 13:37:27","5","하루에 한 회 무료로 볼 수 있어서 좋아요","긍정","2","0"
"2026-01-06 13:27:26","5","좋아요","긍정","2","0"
"2026-01-06 12:35:51","3","네이버웹툰 홈화면에서 작품들을 내릴때 스크롤바가 없어서 너무 불편해요 내릴때 너무 오래걸리고 작품을 들어갔다 나와도 들어가기 전 화면이 뜨는건 좋은데 다시 올라가는데에 한세월이에요 스크롤바 만들어주심 감사하겠습니다","중립","1","2"
"2026-01-06 09:01:12","5","네이버 웹툰 화이팅","긍정","0","0"
"2026-01-06 04:15:01","5","하루에 다섯개씩 광고로 완결작 볼 수 있게 해주는건 정말 좋은 서비스인듯","긍정","0","1"
"2026-01-06 02:56:03","5","웹툰은 전용어플에서 보면 참 좋아요~~~~","긍정","2","0"
"2026-01-06 00:12:17","5","좋아요","긍정","2","0"
"2026-01-05 19:36:29","1","웹툰 찾는 방식이 팝업 광고 웹툰/ 배너 광고 웹툰 / 최근 본 내역 연관 웹툰 / 별점 / 조회수 / 인기 / 남성 / 여성 / 업데이트 이딴 방식들 뿐임. 네이버 웹툰 부서에 마케팅이나 UX 담당은 일 안 합니까? 계속 광고 쳐 때린다고 그게 광고에 효과적인 게 아닙니다. 한 놈만 걸려라식으로 통발형 광고를 뿌려댄다고 볼거였으면 커뮤니티에 돈 주고 댓글 알바 쓰는 게 낫지. 어차피 웹툰은 추가되는 대부분이 스튜디오에서 제작하는 양산형 웹소설 기반 웹툰들이 대부분인데 그것들만 계속 주구장창 광고하니까. 그래도 뭔가를 찾아보겠다고 하면 요일별로 본인이 내리면서 찾아야함. 전체목록 보면 그것도 중구난방임. 학창시절에 이름순이나 번호순으로 불리던 거에 컴플렉스있는 사람이 만들었는지 단순한 가나다, 카테고리 정렬도 없다는 게 진짜 심각하다.","부정","0","2"
"2026-01-05 16:59:11","5","내 지친 일상의 유일한 낙","긍정","0","0"
"2026-01-05 14:13:03","1","보고싶어도 안떠서 못본다고 이거 해결좀 해달라고","부정","0","0"
"2026-01-05 13:26:57","1","얼마 전부터 계속 인터넷 멀쩡한데도 로딩이 안 되는 버그가 뜨네요","부정","0","2"
"2026-01-05 10:49:48","5","계백순 개귀엽다","긍정","0","0"
